id,uri,nome,siglaPartido,uriPartido,siglaUf,idLegislatura,urlFoto,email
74058,https://dadosabertos.camara.leg.br/api/v2/deputados/74058,ANTONIO CARLOS MAGALHÃES NETO,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,BA,53,https://www.camara.leg.br/internet/deputado/bandep/74058.jpg,
74058,https://dadosabertos.camara.leg.br/api/v2/deputados/74058,ANTONIO CARLOS MAGALHÃES NETO,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,BA,54,https://www.camara.leg.br/internet/deputado/bandep/74058.jpg,
73584,https://dadosabertos.camara.leg.br/api/v2/deputados/73584,ANTONIO CARLOS MENDES THAME,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,SP,52,https://www.camara.leg.br/internet/deputado/bandep/73584.jpg,
73584,https://dadosabertos.camara.leg.br/api/v2/deputados/73584,ANTONIO CARLOS MENDES THAME,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,SP,53,https://www.camara.leg.br/internet/deputado/bandep/73584.jpg,
73584,https://dadosabertos.camara.leg.br/api/v2/deputados/73584,ANTONIO CARLOS MENDES THAME,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,SP,54,https://www.camara.leg.br/internet/deputado/bandep/73584.jpg,
73584,https://dadosabertos.camara.leg.br/api/v2/deputados/73584,ANTONIO CARLOS MENDES THAME,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36851,SP,55,https://www.camara.leg.br/internet/deputado/bandep/73584.jpg,
73584,https://dadosabertos.camara.leg.br/api/v2/deputados/73584,ANTONIO CARLOS MENDES THAME,PV,https://dadosabertos.camara.leg.br/api/v2/partidos/36851,SP,55,https://www.camara.leg.br/internet/deputado/bandep/73584.jpg,
73431,https://dadosabertos.camara.leg.br/api/v2/deputados/73431,ANTONIO CARLOS PANNUNZIO,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,SP,52,https://www.camara.leg.br/internet/deputado/bandep/73431.jpg,
73431,https://dadosabertos.camara.leg.br/api/v2/deputados/73431,ANTONIO CARLOS PANNUNZIO,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,SP,53,https://www.camara.leg.br/internet/deputado/bandep/73431.jpg,
73817,https://dadosabertos.camara.leg.br/api/v2/deputados/73817,ANTONIO CRUZ,PTB,https://dadosabertos.camara.leg.br/api/v2/partidos/36809,MS,52,https://www.camara.leg.br/internet/deputado/bandep/73817.jpg,
73817,https://dadosabertos.camara.leg.br/api/v2/deputados/73817,ANTONIO CRUZ,PP**,https://dadosabertos.camara.leg.br/api/v2/partidos/36809,MS,52,https://www.camara.leg.br/internet/deputado/bandep/73817.jpg,
73817,https://dadosabertos.camara.leg.br/api/v2/deputados/73817,ANTONIO CRUZ,PP**,https://dadosabertos.camara.leg.br/api/v2/partidos/36809,MS,53,https://www.camara.leg.br/internet/deputado/bandep/73817.jpg,
73987,https://dadosabertos.camara.leg.br/api/v2/deputados/73987,ANTONIO FEIJAO,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36846,AP,53,https://www.camara.leg.br/internet/deputado/bandep/73987.jpg,
73987,https://dadosabertos.camara.leg.br/api/v2/deputados/73987,ANTONIO FEIJAO,PTC,https://dadosabertos.camara.leg.br/api/v2/partidos/36846,AP,53,https://www.camara.leg.br/internet/deputado/bandep/73987.jpg,
160530,https://dadosabertos.camara.leg.br/api/v2/deputados/160530,ANTONIO IMBASSAHY,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,BA,54,https://www.camara.leg.br/internet/deputado/bandep/160530.jpg,
160530,https://dadosabertos.camara.leg.br/api/v2/deputados/160530,ANTONIO IMBASSAHY,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,BA,55,https://www.camara.leg.br/internet/deputado/bandep/160530.jpg,
178950,https://dadosabertos.camara.leg.br/api/v2/deputados/178950,ANTÔNIO JÁCOME,PMN,https://dadosabertos.camara.leg.br/api/v2/partidos/36896,RN,55,https://www.camara.leg.br/internet/deputado/bandep/178950.jpg,
